;vm_id;vm_type;task;vm_start;input_data;task_start;task_end;output_data;vm_end;volume;allocation_cost
4472;VM 27;0;25/ID00024;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
4644;VM 28;0;26/ID00025;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
4816;VM 29;0;27/ID00026;2.99999912;8.8e-07;4.0;50.666666666666664;;50.666666666666664;140.0;143.00000264
4988;VM 30;0;28/ID00027;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
5160;VM 31;0;29/ID00028;2.99999912;8.8e-07;4.0;50.333333333333336;;50.333333333333336;139.0;142.00000264000002
5332;VM 32;0;30/ID00029;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
5504;VM 33;0;31/ID00030;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
5676;VM 34;0;32/ID00031;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
5848;VM 35;0;33/ID00032;2.99999912;8.8e-07;4.0;47.666666666666664;;47.666666666666664;131.0;134.00000264
6020;VM 36;0;34/ID00033;2.99999912;8.8e-07;4.0;51.333333333333336;;51.333333333333336;142.0;145.00000264000002
6192;VM 37;0;35/ID00034;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
6364;VM 38;0;36/ID00035;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
6536;VM 39;0;37/ID00036;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
6708;VM 40;0;38/ID00037;2.99999912;8.8e-07;4.0;50.333333333333336;;50.333333333333336;139.0;142.00000264000002
6880;VM 41;0;39/ID00038;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
7052;VM 42;0;40/ID00039;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
7224;VM 43;0;41/ID00040;2.99999912;8.8e-07;4.0;48.333333333333336;;48.333333333333336;133.0;136.00000264000002
7396;VM 44;0;42/ID00041;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
7568;VM 45;0;43/ID00042;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
7740;VM 46;0;44/ID00043;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
7912;VM 47;0;45/ID00044;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
8084;VM 48;0;46/ID00045;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
8256;VM 49;0;47/ID00046;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
8428;VM 50;0;48/ID00047;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
8600;VM 51;0;49/ID00048;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
8772;VM 52;0;50/ID00049;2.99999912;8.8e-07;4.0;51.0;;51.0;141.0;144.00000264
8944;VM 53;0;51/ID00050;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
9116;VM 54;0;52/ID00051;2.99999912;8.8e-07;4.0;48.333333333333336;;48.333333333333336;133.0;136.00000264000002
9288;VM 55;0;53/ID00052;2.99999912;8.8e-07;4.0;48.333333333333336;;48.333333333333336;133.0;136.00000264000002
9460;VM 56;0;54/ID00053;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
9632;VM 57;0;55/ID00054;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
9804;VM 58;0;56/ID00055;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
9976;VM 59;0;57/ID00056;2.99999912;8.8e-07;4.0;48.0;;48.0;132.0;135.00000264
10148;VM 60;0;58/ID00057;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
10320;VM 61;0;59/ID00058;2.99999912;8.8e-07;4.0;50.666666666666664;;50.666666666666664;140.0;143.00000264
10492;VM 62;0;60/ID00059;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
10664;VM 63;0;61/ID00060;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
10836;VM 64;0;62/ID00061;2.99999912;8.8e-07;4.0;48.666666666666664;;48.666666666666664;134.0;137.00000264
11008;VM 65;0;63/ID00062;2.99999912;8.8e-07;4.0;47.666666666666664;;47.666666666666664;131.0;134.00000264
11180;VM 66;0;64/ID00063;2.99999912;8.8e-07;4.0;50.666666666666664;;50.666666666666664;140.0;143.00000264
11352;VM 67;0;65/ID00064;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
11524;VM 68;0;66/ID00065;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
11696;VM 69;0;67/ID00066;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
11868;VM 70;0;68/ID00067;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
12040;VM 71;0;69/ID00068;2.99999912;8.8e-07;4.0;48.0;;48.0;132.0;135.00000264
12212;VM 72;0;70/ID00069;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
12384;VM 73;0;71/ID00070;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
12556;VM 74;0;72/ID00071;2.99999912;8.8e-07;4.0;48.0;;48.0;132.0;135.00000264
12728;VM 75;0;73/ID00072;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
12900;VM 76;0;74/ID00073;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
13072;VM 77;0;75/ID00074;2.99999912;8.8e-07;4.0;48.666666666666664;;48.666666666666664;134.0;137.00000264
13244;VM 78;0;76/ID00075;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
13416;VM 79;0;77/ID00076;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
13588;VM 80;0;79/ID00078;2.99999912;8.8e-07;4.0;50.333333333333336;;50.333333333333336;139.0;142.00000264000002
13760;VM 81;0;80/ID00079;2.99999912;8.8e-07;4.0;50.333333333333336;;50.333333333333336;139.0;142.00000264000002
13932;VM 82;0;81/ID00080;2.99999912;8.8e-07;4.0;50.666666666666664;;50.666666666666664;140.0;143.00000264
14104;VM 83;0;82/ID00081;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
14276;VM 84;0;83/ID00082;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
14448;VM 85;0;84/ID00083;2.99999912;8.8e-07;4.0;48.0;;48.0;132.0;135.00000264
14620;VM 86;0;85/ID00084;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
14792;VM 87;0;86/ID00085;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
14964;VM 88;0;87/ID00086;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
15136;VM 89;0;88/ID00087;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
15308;VM 90;0;89/ID00088;2.99999912;8.8e-07;4.0;48.666666666666664;;48.666666666666664;134.0;137.00000264
15480;VM 91;0;90/ID00089;2.99999912;8.8e-07;4.0;48.666666666666664;;48.666666666666664;134.0;137.00000264
15652;VM 92;0;91/ID00090;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
15824;VM 93;0;92/ID00091;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
15996;VM 94;0;93/ID00092;2.99999912;8.8e-07;4.0;48.666666666666664;;48.666666666666664;134.0;137.00000264
16168;VM 95;0;94/ID00093;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
16340;VM 96;0;95/ID00094;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
16512;VM 97;0;96/ID00095;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
16684;VM 98;0;97/ID00096;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
16856;VM 99;0;98/ID00097;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
17028;VM 100;0;100/ID00099;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
17200;VM 101;0;101/ID00100;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
17372;VM 102;0;102/ID00101;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
17544;VM 103;0;103/ID00102;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
17716;VM 104;0;104/ID00103;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
17888;VM 105;0;105/ID00104;2.99999912;8.8e-07;4.0;48.333333333333336;;48.333333333333336;133.0;136.00000264000002
18060;VM 106;0;106/ID00105;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
18232;VM 107;0;107/ID00106;2.99999912;8.8e-07;4.0;48.666666666666664;;48.666666666666664;134.0;137.00000264
18404;VM 108;0;108/ID00107;2.99999912;8.8e-07;4.0;48.666666666666664;;48.666666666666664;134.0;137.00000264
18576;VM 109;0;109/ID00108;2.99999912;8.8e-07;4.0;48.333333333333336;;48.333333333333336;133.0;136.00000264000002
18748;VM 110;0;110/ID00109;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
18920;VM 111;0;111/ID00110;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
19092;VM 112;0;112/ID00111;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
19264;VM 113;0;113/ID00112;2.99999912;8.8e-07;4.0;50.333333333333336;;50.333333333333336;139.0;142.00000264000002
19436;VM 114;0;114/ID00113;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
19608;VM 115;0;115/ID00114;2.99999912;8.8e-07;4.0;50.333333333333336;;50.333333333333336;139.0;142.00000264000002
19780;VM 116;0;116/ID00115;2.99999912;8.8e-07;4.0;50.666666666666664;;50.666666666666664;140.0;143.00000264
19952;VM 117;0;117/ID00116;2.99999912;8.8e-07;4.0;48.666666666666664;;48.666666666666664;134.0;137.00000264
20124;VM 118;0;118/ID00117;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
20296;VM 119;0;119/ID00118;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
20468;VM 120;0;120/ID00119;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
20640;VM 121;0;121/ID00120;2.99999912;8.8e-07;4.0;48.333333333333336;;48.333333333333336;133.0;136.00000264000002
20812;VM 122;0;122/ID00121;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
20984;VM 123;0;123/ID00122;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
21156;VM 124;0;124/ID00123;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
21328;VM 125;0;125/ID00124;2.99999912;8.8e-07;4.0;48.666666666666664;;48.666666666666664;134.0;137.00000264
21500;VM 126;0;126/ID00125;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
21672;VM 127;0;127/ID00126;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
21844;VM 128;0;128/ID00127;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
22016;VM 129;0;129/ID00128;2.99999912;8.8e-07;4.0;48.666666666666664;;48.666666666666664;134.0;137.00000264
22188;VM 130;0;130/ID00129;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
22360;VM 131;0;131/ID00130;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
22532;VM 132;0;132/ID00131;2.99999912;8.8e-07;4.0;50.333333333333336;;50.333333333333336;139.0;142.00000264000002
22704;VM 133;0;133/ID00132;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
22876;VM 134;0;134/ID00133;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
23048;VM 135;0;135/ID00134;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
23220;VM 136;0;136/ID00135;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
23392;VM 137;0;137/ID00136;2.99999912;8.8e-07;4.0;50.333333333333336;;50.333333333333336;139.0;142.00000264000002
23564;VM 138;0;138/ID00137;2.99999912;8.8e-07;4.0;48.0;;48.0;132.0;135.00000264
23736;VM 139;0;139/ID00138;2.99999912;8.8e-07;4.0;48.0;;48.0;132.0;135.00000264
23908;VM 140;0;140/ID00139;2.99999912;8.8e-07;4.0;48.666666666666664;;48.666666666666664;134.0;137.00000264
24080;VM 141;0;141/ID00140;2.99999912;8.8e-07;4.0;47.666666666666664;;47.666666666666664;131.0;134.00000264
24252;VM 142;0;142/ID00141;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
24424;VM 143;0;143/ID00142;2.99999912;8.8e-07;4.0;48.333333333333336;;48.333333333333336;133.0;136.00000264000002
24596;VM 144;0;144/ID00143;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
24768;VM 145;0;145/ID00144;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
24940;VM 146;0;146/ID00145;2.99999912;8.8e-07;4.0;51.0;;51.0;141.0;144.00000264
25112;VM 147;0;147/ID00146;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
25284;VM 148;0;148/ID00147;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
25456;VM 149;0;149/ID00148;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
25628;VM 150;0;150/ID00149;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
25800;VM 151;0;151/ID00150;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
25972;VM 152;0;152/ID00151;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
26144;VM 153;0;153/ID00152;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
26316;VM 154;0;154/ID00153;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
26488;VM 155;0;155/ID00154;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
26660;VM 156;0;156/ID00155;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
26832;VM 157;0;157/ID00156;2.99999912;8.8e-07;4.0;51.0;;51.0;141.0;144.00000264
27004;VM 158;0;158/ID00157;2.99999912;8.8e-07;4.0;48.0;;48.0;132.0;135.00000264
27176;VM 159;0;159/ID00158;2.99999912;8.8e-07;4.0;49.666666666666664;;49.666666666666664;137.0;140.00000264
27348;VM 160;0;160/ID00159;2.99999912;8.8e-07;4.0;48.0;;48.0;132.0;135.00000264
27520;VM 161;0;161/ID00160;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
27692;VM 162;0;162/ID00161;2.99999912;8.8e-07;4.0;49.0;;49.0;135.0;138.00000264
27864;VM 163;0;163/ID00162;2.99999912;8.8e-07;4.0;50.666666666666664;;50.666666666666664;140.0;143.00000264
28036;VM 164;0;164/ID00163;2.99999912;8.8e-07;4.0;49.333333333333336;;49.333333333333336;136.0;139.00000264000002
28208;VM 165;0;165/ID00164;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
28380;VM 166;0;166/ID00165;2.99999912;8.8e-07;4.0;50.0;;50.0;138.0;141.00000264
137;VM 138;0;167/ID00166;57.99999832;1.68e-06;58.0;93.0;;93.0;105.0;135.0
805;VM 139;0;168/ID00167;57.99999832;1.68e-06;58.0;93.33333333333334;;93.33333333333334;106.0;136.0
1462;VM 129;0;169/ID00168;57.99999832;1.68e-06;58.0;93.0;;93.0;105.0;133.0
2125;VM 125;0;170/ID00169;57.99999832;1.68e-06;58.0;93.0;;93.0;105.0;133.0
2788;VM 121;0;171/ID00170;57.99999832;1.68e-06;58.0;93.33333333333334;;93.33333333333334;106.0;135.0
3342;VM 8;0;172/ID00171;57.99999832;1.68e-06;58.0;92.66666666666666;;92.66666666666666;104.0;126.99999999999999
4152;VM 151;0;173/ID00172;57.99999832;1.68e-06;58.0;94.0;;94.0;108.0;135.0
4808;VM 140;0;174/ID00173;57.99999832;1.68e-06;58.0;93.66666666666666;;93.66666666666666;107.0;135.0
5502;VM 172;0;175/ID00174;57.99999832;1.68e-06;59.0;94.33333333333334;;94.33333333333334;106.0;109.00000503999999
6170;VM 173;0;176/ID00175;57.99999832;1.68e-06;59.0;93.66666666666666;;93.66666666666666;104.0;107.00000503999999
6844;VM 180;0;177/ID00176;57.99999832;1.68e-06;59.0;95.0;;95.0;108.0;111.00000503999999
7491;VM 155;0;178/ID00177;57.99999832;1.68e-06;58.0;93.66666666666666;;93.66666666666666;107.0;134.0
8122;VM 119;0;179/ID00178;57.99999832;1.68e-06;58.0;93.33333333333334;;93.33333333333334;106.0;133.0
8828;VM 158;0;180/ID00179;57.99999832;1.68e-06;58.0;93.0;;93.0;105.0;135.0
9497;VM 160;0;181/ID00180;57.99999832;1.68e-06;58.0;93.33333333333334;;93.33333333333334;106.0;136.0
10089;VM 85;0;182/ID00181;57.99999832;1.68e-06;58.0;93.0;;93.0;105.0;135.0
10791;VM 120;0;183/ID00182;57.99999832;1.68e-06;58.0;93.33333333333334;;93.33333333333334;106.0;130.0
11456;VM 118;0;184/ID00183;57.99999832;1.68e-06;58.0;93.33333333333334;;93.33333333333334;106.0;131.0
12179;VM 179;0;185/ID00184;57.99999832;1.68e-06;59.0;94.0;;94.0;105.0;108.00000503999999
12845;VM 178;0;186/ID00185;57.99999832;1.68e-06;59.0;94.0;;94.0;105.0;108.00000503999999
13511;VM 177;0;187/ID00186;57.99999832;1.68e-06;59.0;94.0;;94.0;105.0;108.00000503999999
14123;VM 117;0;188/ID00187;57.99999832;1.68e-06;58.0;93.33333333333334;;93.33333333333334;106.0;134.0
14767;VM 94;0;189/ID00188;57.99999832;1.68e-06;58.0;93.66666666666666;;93.66666666666666;107.0;135.0
15509;VM 174;0;190/ID00189;57.99999832;1.68e-06;59.0;93.66666666666666;;93.66666666666666;104.0;107.00000503999999
16114;VM 107;0;191/ID00190;57.99999832;1.68e-06;58.0;93.33333333333334;;93.33333333333334;106.0;134.0
16779;VM 105;0;192/ID00191;57.99999832;1.68e-06;58.0;93.66666666666666;;93.66666666666666;107.0;136.0
17346;VM 5;0;193/ID00192;57.99999832;1.68e-06;58.0;92.66666666666666;;92.66666666666666;104.0;126.99999999999999
18187;VM 184;0;194/ID00193;57.99999832;1.68e-06;59.0;93.33333333333334;;93.33333333333334;103.0;106.00000503999999
18853;VM 183;0;195/ID00194;57.99999832;1.68e-06;59.0;94.0;;94.0;105.0;108.00000503999999
19519;VM 182;0;196/ID00195;57.99999832;1.68e-06;59.0;94.33333333333334;;94.33333333333334;106.0;109.00000503999999
20185;VM 181;0;197/ID00196;57.99999832;1.68e-06;59.0;94.66666666666666;;94.66666666666666;107.0;110.00000503999999
20798;VM 122;0;198/ID00197;57.99999832;1.68e-06;58.0;93.0;;93.0;105.0;132.0
21513;VM 175;0;199/ID00198;57.99999832;1.68e-06;59.0;95.0;;95.0;108.0;111.00000503999999
22133;VM 123;0;200/ID00199;57.99999832;1.68e-06;58.0;94.0;;94.0;108.0;135.0
22793;VM 116;0;201/ID00200;56.99999832;1.68e-06;57.0;93.0;;93.0;108.0;127.0
23458;VM 114;0;202/ID00201;56.99999832;1.68e-06;57.0;92.33333333333334;;92.33333333333334;106.0;130.0
24017;VM 6;0;203/ID00202;56.99999832;1.68e-06;57.0;91.66666666666666;;91.66666666666666;104.0;126.99999999999999
24861;VM 188;0;204/ID00203;57.99999832;1.68e-06;59.0;94.33333333333334;;94.33333333333334;106.0;109.00000503999999
25454;VM 109;0;205/ID00204;57.99999832;1.68e-06;58.0;93.33333333333334;;93.33333333333334;106.0;135.0
26120;VM 108;0;206/ID00205;57.99999832;1.68e-06;58.0;93.33333333333334;;93.33333333333334;106.0;134.0
26717;VM 38;0;207/ID00206;57.99999832;1.68e-06;58.0;93.33333333333334;;93.33333333333334;106.0;133.0
27360;VM 14;0;208/ID00207;57.99999832;1.68e-06;58.0;93.33333333333334;;93.33333333333334;106.0;135.0
28193;VM 185;0;209/ID00208;57.99999832;1.68e-06;59.0;94.66666666666666;;94.66666666666666;107.0;110.00000503999999
28851;VM 176;0;210/ID00209;57.99999832;1.68e-06;59.0;95.0;;95.0;108.0;111.00000503999999
29360;VM 13;0;211/ID00210;57.99999832;1.68e-06;58.0;93.66666666666666;;93.66666666666666;107.0;137.0
30205;VM 196;0;212/ID00211;57.99999832;1.68e-06;59.0;94.33333333333334;;94.33333333333334;106.0;109.00000503999999
30871;VM 195;0;213/ID00212;58.99999832;1.68e-06;60.0;95.66666666666666;;95.66666666666666;107.0;110.00000503999999
31364;VM 16;0;214/ID00213;57.99999832;1.68e-06;58.0;93.0;;93.0;105.0;132.0
32027;VM 12;0;215/ID00214;57.99999832;1.68e-06;58.0;93.0;;93.0;105.0;132.0
32693;VM 11;0;216/ID00215;57.99999832;1.68e-06;58.0;93.33333333333334;;93.33333333333334;106.0;131.0
33359;VM 10;0;217/ID00216;57.99999832;1.68e-06;58.0;93.33333333333334;;93.33333333333334;106.0;133.0
34023;VM 7;0;218/ID00217;57.99999832;1.68e-06;58.0;93.0;;93.0;105.0;132.0
34844;VM 161;0;219/ID00218;57.99999832;1.68e-06;58.0;93.33333333333334;;93.33333333333334;106.0;133.0
35389;VM 39;0;220/ID00219;57.99999832;1.68e-06;58.0;93.0;;93.0;105.0;130.0
36049;VM 32;0;221/ID00220;57.99999832;1.68e-06;58.0;93.66666666666666;;93.66666666666666;107.0;131.0
36714;VM 30;0;222/ID00221;57.99999832;1.68e-06;58.0;93.0;;93.0;105.0;130.0
37378;VM 27;0;223/ID00222;57.99999832;1.68e-06;58.0;93.66666666666666;;93.66666666666666;107.0;132.0
38044;VM 26;0;224/ID00223;57.99999832;1.68e-06;58.0;93.33333333333334;;93.33333333333334;106.0;132.0
38870;VM 190;0;225/ID00224;57.99999832;1.68e-06;59.0;94.0;;94.0;105.0;108.00000503999999
39376;VM 24;0;226/ID00225;57.99999832;1.68e-06;58.0;93.33333333333334;;93.33333333333334;106.0;135.0
40040;VM 21;0;227/ID00226;57.99999832;1.68e-06;58.0;94.0;;94.0;108.0;134.0
40706;VM 20;0;228/ID00227;57.99999832;1.68e-06;58.0;93.33333333333334;;93.33333333333334;106.0;133.0
41372;VM 19;0;229/ID00228;57.99999832;1.68e-06;58.0;93.0;;93.0;105.0;135.0
42100;VM 80;0;230/ID00229;57.99999832;1.68e-06;58.0;92.66666666666666;;92.66666666666666;104.0;126.99999999999999
42882;VM 200;0;231/ID00230;57.99999832;1.68e-06;59.0;94.0;;94.0;105.0;108.00000503999999
43428;VM 74;0;232/ID00231;57.99999832;1.68e-06;58.0;93.66666666666666;;93.66666666666666;107.0;137.0
44092;VM 71;0;233/ID00232;57.99999832;1.68e-06;58.0;93.66666666666666;;93.66666666666666;107.0;137.0
44730;VM 42;0;234/ID00233;57.99999832;1.68e-06;58.0;93.0;;93.0;105.0;131.0
45544;VM 194;0;235/ID00234;57.99999832;1.68e-06;59.0;94.0;;94.0;105.0;108.00000503999999
46210;VM 193;0;236/ID00235;57.99999832;1.68e-06;59.0;94.66666666666666;;94.66666666666666;107.0;110.00000503999999
46876;VM 192;0;237/ID00236;57.99999832;1.68e-06;59.0;94.33333333333334;;94.33333333333334;106.0;109.00000503999999
47542;VM 191;0;238/ID00237;57.99999832;1.68e-06;59.0;94.0;;94.0;105.0;108.00000503999999
48207;VM 189;0;239/ID00238;57.99999832;1.68e-06;59.0;94.66666666666666;;94.66666666666666;107.0;110.00000503999999
